path,seed,s_final,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations,dos_windows,fdi_windows
sCurve,208654029,0.47901364336869146,0.6296918574666445,2.3720357631844924,0.6757647330201356,0.47708333333333336,0,5,4
sCurve,695401319,0.47901364336869146,0.7008579848127745,2.2168348740589026,1.8618435211223479,0.5566666666666666,203,4,6
sCurve,148708215,0.47901364336869146,0.31399561731304554,1.5795932253002956,0.5832017026067844,0.4891666666666667,0,5,3
sCurve,6898620,0.47901364336869146,0.5599374520380693,2.6692281533571074,1.2818015086949937,0.5333333333333333,0,7,5
sCurve,664648677,0.47901364336869146,0.26665566546538444,1.678715968839788,0.43556231281232516,0.42083333333333334,0,3,4
sCurve,630452087,0.47901364336869146,0.7424251828262151,2.7287266295575114,1.212510205370914,0.5229166666666667,0,4,5
sCurve,517237545,0.47901364336869146,0.21488434026545786,0.9983145854271084,0.5839854546241352,0.3070833333333333,0,2,3
sCurve,643307316,0.47901364336869146,0.62626578426037,2.5294690453673168,1.2781713539109536,0.6025,0,6,4
sCurve,503275508,0.47901364336869146,0.2148343688502724,0.7860920755194353,0.5564660100971713,0.36791666666666667,0,4,3
sCurve,667181712,0.47901364336869146,0.4178415158321726,1.7323999165853168,1.4417374460821673,0.5254166666666666,0,4,6
sCurve,754535109,0.47901364336869146,0.618925585791417,2.168754803634894,1.3639199704500966,0.4575,94,4,5
sCurve,572599815,0.47901364336869146,0.48485603044832337,1.9669138636350256,1.6755157074088016,0.6295833333333334,0,5,5
sCurve,911684715,0.47901364336869146,0.7086817637392443,3.0938650120865008,1.0700654897458408,0.66875,0,6,7
sCurve,406425411,0.47901364336869146,0.270584565123447,1.6628050361537527,0.5760621273616312,0.5183333333333333,0,5,4
sCurve,141223823,0.47901364336869146,0.4878017654736659,1.7380144520346494,1.0607041848442176,0.43,1064,5,2
sCurve,40008312,0.47901364336869146,0.36984871661789803,2.2526861865891017,0.916515128972425,0.6045833333333334,0,4,6
sCurve,1259196,0.47901364336869146,0.5991878422278964,2.826778720691633,0.7300167682755692,0.6079166666666667,0,6,4
sCurve,146945343,0.47901364336869146,0.2628284893175585,0.9606984960078322,1.354007661501902,0.44416666666666665,0,4,4
sCurve,79403921,0.47901364336869146,0.23557991948565535,1.564267613644607,0.3305658029715326,0.3720833333333333,0,4,2
sCurve,106026988,0.47901364336869146,0.21468206425822137,0.8602561890152219,0.4055569956747763,0.33666666666666667,0,4,2
sCurve,907655629,0.47901364336869146,0.7097684687294484,2.546385953173534,0.74305679772873,0.605,0,7,6
sharpL,827837125,0.999,0.45322485032617443,3.1576034630866596,2.928482646646093,0.6420833333333333,433,7,5
sharpL,100837786,0.999,0.4811050679728381,3.8171095972195834,3.2494795517271733,0.5458333333333333,124,4,6
sharpL,830739707,0.999,0.4199655576613394,2.700178893866009,0.6884771973630217,0.45416666666666666,35,4,3
sharpL,957360799,0.999,0.3078327130039222,3.2232416477101045,2.023032491074642,0.32166666666666666,13,1,4
sharpL,948173650,0.999,0.9928968788862477,3.726020391270928,1.542132318900266,0.7120833333333333,60,7,5
sharpL,491988464,0.999,0.5042020082805061,3.580964378467466,2.136470499470256,0.46125,461,3,4
sharpL,702552413,0.999,1.086207288658442,3.5249653715578053,0.8285461928892881,0.59625,65,5,5
sharpL,599032787,0.999,0.40587270043807233,2.202423147123494,1.422241675647786,0.5029166666666667,225,4,5
sharpL,615138292,0.999,0.4899844115905549,2.4154283451768688,1.7878836657476824,0.5258333333333334,248,5,5
sharpL,49398890,0.999,0.46759733391524133,2.4763386473727906,2.9801070147833078,0.5,115,3,7
sharpL,215815017,0.999,0.31560500440979466,3.4425561488164234,2.2537110583856066,0.49541666666666667,130,3,5
sharpL,394898599,0.999,0.6816414471153203,3.4347078622873513,0.9730120068955279,0.4895833333333333,254,4,4
sharpL,344985479,0.999,0.6495435322910712,3.81957305014309,1.9549723983348084,0.5604166666666667,153,4,6
sharpL,994080146,0.999,0.5066723865130446,4.273072998624554,3.844826433237033,0.6166666666666667,293,5,7
sharpL,366025419,0.999,0.5512408605640272,2.8308182066772396,2.0707827036884328,0.47,522,3,5
sharpL,356951981,0.999,0.4244207737585324,2.8381736050428126,2.4199661152962593,0.5358333333333334,99,5,5
sharpL,878041382,0.999,0.2940403300762528,2.111690845986857,1.0178823977244924,0.48375,258,5,3
sharpL,617570136,0.999,0.6009047801080256,3.6786984938992524,2.3742998521575145,0.5879166666666666,229,6,5
sharpL,246187039,0.999,0.3170629627229972,3.9808525980377376,1.4218727038934427,0.3954166666666667,243,5,3
sharpL,888961527,0.999,0.32771224867438464,1.902712672519289,2.4204958352977712,0.5533333333333333,308,5,5
sharpL,853305227,0.999,0.5346183460629033,4.3163118118987605,2.273827253199954,0.525,130,4,5
sharpL,920699527,0.999,0.3040147340104629,3.813043859912565,2.0211593084943758,0.38416666666666666,113,2,5
sharpL,581615406,0.999,0.4548791984583041,3.2305551644491253,1.7472213164972497,0.52125,265,5,5
sharpL,166958958,0.999,0.44629640315633223,4.232617046766239,3.6054772664180654,0.6070833333333333,229,6,5
sharpL,257626892,0.999,0.6077101455845273,4.0432498747307966,2.0118528594624254,0.51125,71,5,4
sharpL,522333016,0.999,0.2842174891524149,3.6157944821153682,1.4886140208532186,0.5441666666666667,646,5,5
sharpL,268599738,0.999,0.32425512192854905,4.536669993660793,1.8820041651514017,0.49083333333333334,280,5,4
sharpL,198226646,0.999,0.4518710708088872,3.0594398601497943,1.7557713807004245,0.3875,101,4,4
sharpL,353696727,0.999,0.3555086654695389,2.6853876082536985,2.8640603590904234,0.49,377,4,5
sharpL,443240929,0.999,0.2869952432136113,4.8247816942306265,2.3362885202363413,0.53,516,4,4
circle,518449367,0.999,0.27360497511639953,2.266126658129598,0.33695449514042897,0.49833333333333335,0,6,3
circle,226991486,0.999,0.2567687386401676,2.172174415141971,0.31808868071105023,0.405,0,4,4
circle,858069711,0.999,0.23583435867563826,2.126534811133925,0.25072042465027083,0.455,0,5,3
circle,972820064,0.999,0.2820938705915054,2.599372217018959,0.4634540266043022,0.63625,0,6,6
circle,590096747,0.999,0.2565164746426841,1.7250721927595145,0.33836267508697326,0.42541666666666667,0,6,3
circle,351513245,0.999,0.2510561026045883,2.3938193100355676,0.27662702248205384,0.495,0,4,4
circle,785456193,0.999,0.29538405665711936,2.6319225663533006,0.40635224365083716,0.5858333333333333,0,5,6
circle,100392606,0.999,0.2584463580843359,1.721813154267524,0.267274100362935,0.4195833333333333,0,3,4
circle,261799610,0.999,0.22906411209876837,1.7439933757150539,0.4186500776542818,0.4691666666666667,0,6,4
circle,418374226,0.999,0.272840891873331,2.9555313256936233,0.5996742632130468,0.5641666666666667,0,4,6
circle,459068336,0.999,0.21530535306225634,1.3110713187696292,0.2542751602860024,0.27291666666666664,0,1,4
circle,172418153,0.999,0.23448965721445755,2.3072669934789576,0.5253318372400992,0.47041666666666665,0,4,5
circle,705967681,0.999,0.24021774957637404,2.04411577394702,0.39645789062697107,0.48,0,6,4
circle,332573271,0.999,0.2559455747077715,2.221538428752085,0.3776934851470049,0.5545833333333333,0,7,2
circle,17973975,0.999,0.28943960621931525,2.188705832147795,0.6637387199470446,0.5375,0,6,5
circle,879093829,0.999,0.21260601253022163,2.1481251399796513,0.5393501033295968,0.4275,0,4,5
circle,994516543,0.999,0.26350934999727194,2.26095552050549,0.46096456816642417,0.5625,0,5,6
circle,522972698,0.999,0.3553593802536487,3.219106831575755,0.5521509733852243,0.6220833333333333,0,5,6
circle,238979705,0.999,0.33663201938845144,2.248632417504945,0.465890465148194,0.5304166666666666,0,5,6
circle,366096396,0.999,0.2586293092661406,2.915690192702047,0.6300113673057941,0.6570833333333334,0,5,8
circle,353488206,0.999,0.2255550769484614,1.693473519873049,0.22821900176580812,0.41833333333333333,0,6,2
circle,877097827,0.999,0.25562817898148593,2.9064399786484425,0.36554299998435574,0.5716666666666667,0,5,5
circle,912489357,0.999,0.2527102677605559,2.00342856835306,0.5033104195961299,0.5233333333333333,0,3,5
