t,mode,fdi_on,fdi_type,fdi_detected,s,x,y,x_ref,y_ref,r_pos,r_th,v_out,w_out,v_main,w_main
24.222799062728882,dt,0,bias,1,0.41430281620895487,0.09675593516227778,3.706987962776334,0.06686497854721263,3.7049736060752823,0.0,0.0,0.15,-0.18333621226150668,0.15,-0.11143304515561359
24.27387833595276,dt,0,bias,1,0.41538327861761204,0.102622535563653,3.7023153832178264,0.073155464029188,3.701161190631661,0.0,0.0,0.15,-0.18916853796997934,0.15,-0.10131453272841931
24.32452392578125,dt,0,bias,1,0.4164657328739731,0.10844467895533338,3.697587524682854,0.07945754610995581,3.697341746946347,0.0,0.0,0.15,-0.19295954968048656,0.15,0.08773506272329772
24.3748037815094,dt,0,bias,1,0.41755095338639736,0.1142209378114216,3.692803715152003,0.08577573341887906,3.6935125425166966,0.0,0.0,0.15,-0.19542370729231628,0.15,0.0975028265037647
24.426459550857544,dt,0,bias,1,0.4186008063993465,0.11995017817661084,3.6879636939911107,0.09188754217559683,3.689807362471325,0.0,0.0,0.15,-0.1900045851995001,0.06007395288088008,-0.05587089943821119
24.47684407234192,dt,0,bias,1,0.4196545120085201,0.1256331793803091,3.6830694629668574,0.09801351761355521,3.6860749901374663,0.0,0.0,0.15,-0.1852855549691656,0.06005174664744323,-0.07747078729598436
24.527726411819458,dt,0,bias,1,0.4207213362870593,0.13127059584173778,3.6781227938208145,0.10421576164647274,3.6822961496457367,0.0,0.0,0.15,-0.18117182193869275,0.06006075164897211,-0.09979579244776332
24.577667474746704,dt,1,bias,1,0.4217970611350488,0.13686297176672998,3.6731252612782925,0.11025645418290547,3.67816388784175,0.12806248474865703,0.08726646259971638,0.15,-0.18673646945492858,-0.0654280701984757,-0.18485852345584605
24.62799072265625,dt,1,bias,1,0.4228787128502495,0.14240844353105378,3.6680757322991613,0.11623588169780197,3.6738661743154184,0.12806248474865703,0.08726646259971638,0.15,-0.19137870514570357,-0.06547669571818315,-0.17577319755187526
24.679108381271362,dt,1,bias,1,0.42396417230081523,0.14790534353457327,3.6629733710466326,0.12223635857386596,3.669553331560748,0.12806248474865703,0.08726646259971638,0.15,-0.1943961583447073,0.1179233142818221,0.02383380650552127
24.73032808303833,dt,1,bias,1,0.4250519179143909,0.15335239069083426,3.6578178228432434,0.1282494734791714,3.66523140522256,0.12806248474865703,0.08726646259971638,0.15,-0.1949969471861146,0.1178325747688537,0.03283960951712479
24.78058671951294,dt,1,bias,1,0.42612004945482607,0.15874891394062607,3.6526094126429562,0.1341541607575728,3.660987411241209,0.12806248474865703,0.08726646259971638,0.15,-0.1426114822702969,-0.03493619437261082,-0.15042746470446783
24.830432176589966,dt,0,bias,1,0.42719690974133356,0.16410816135742629,3.6473626548702436,0.14010710100289697,3.6567087354398824,0.0,0.0,0.15,-0.1038183393256071,0.09213980061657345,-0.08007532820006323
24.880877017974854,dt,0,bias,1,0.42827966024210773,0.16944010120864159,3.6420881485025327,0.14609260266217722,3.6524066561222748,0.0,0.0,0.15,-0.07510482902475249,0.09220925720250084,-0.09757568081307919
24.93185520172119,dt,0,bias,1,0.42936055341589713,0.17475219646642987,3.636793656650411,0.15188986548500163,3.647878083814449,0.0,0.0,0.15,-0.11233019718570875,0.06285212648907537,-0.1045003588553071
24.982470989227295,dt,0,bias,1,0.43044646424355937,0.18003447152958318,3.6314694130273986,0.15764852887891706,3.6432424009428988,0.0,0.0,0.15,-0.14081308397519515,0.06277006710774782,-0.107265205933353
25.032968044281006,dt,0,bias,1,0.43153572310007937,0.18527912982142936,3.6261081110025386,0.16338482738926557,3.638543600991492,0.0,0.0,0.15,-0.16152850458387685,0.15,-0.08920450993863624
25.083820343017578,dt,0,bias,1,0.43262710491017087,0.19048031737902835,3.620704626201905,0.16907757562170694,3.633769037957831,0.0,0.0,0.15,-0.17499352797951995,0.15,-0.08031897420100564
25.134042263031006,dt,1,bias,1,0.43371662474238665,0.19563402770448046,3.6152558401094503,0.1747606116057285,3.6290026206809096,0.12806248474865703,0.08726646259971638,0.15,-0.16407490226879787,0.11774187642035547,-0.15215534294422686
25.18433451652527,dt,1,bias,1,0.43480824578635485,0.20074286465397678,3.6097649581198734,0.18045460770414695,3.624227011049978,0.128062484748657,0.08726646259971638,0.15,-0.15276740246636705,0.11778365576749328,-0.15252776393151593
25.235066413879395,dt,1,bias,1,0.43590106473171314,0.2058096115863248,3.604235213503389,0.18615485216675676,3.619446160855531,0.12806248474865706,0.08726646259971638,0.15,-0.1692988116031386,0.11783142130658872,-0.15326319570456348
25.285791397094727,dt,1,bias,1,0.4369920503846991,0.21082936858973989,3.598662777803745,0.19177116386510196,3.6145863137834273,0.12806248474865703,0.08726646259971638,0.15,-0.18004422754204008,-0.034038353070526606,-0.18627153923827286
25.336931228637695,dt,1,bias,1,0.4380850368044657,0.2157987586279464,3.5930453795938817,0.19738245259532378,3.60969962572741,0.128062484748657,0.08726646259971638,0.15,-0.18663674612469106,-0.03395922027452111,-0.19304241803350136
