t,s,attack,mode,x,y,theta,xd,yd,theta_d,x_dos,y_dos,v_out,w_out,e_x,e_y,e_th,d_perp,r_eff,d_hat
74.3,0.999,0,main,0.7148170666544118,0.7181494706747661,0.7833820012326491,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.3395450372437865,-0.38190899893482766,-0.15,-0.00014335890803723276,-1.026850785105069,-0.004404213053152084,0.0020007756406270616,0.0023647133785191787,0.12,1.7
74.35000000000001,0.999,0,main,0.7095030842669326,0.7128568729018797,0.7833737128762053,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.334768453169319,-0.3876912341928869,-0.15,-0.00016576712888083465,-1.0193507535097233,-0.004411519703811706,0.0020079435860287376,0.002379772945294678,0.12,1.7
74.4,0.999,0,main,0.7041890580126992,0.7075643191733553,0.7833643067841227,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.3299918211697888,-0.3934734298607162,-0.15,-0.0001881218416517499,-1.01185071691072,-0.004419906283373076,0.0020162319424725794,0.0023948946746178423,0.12,1.7
74.45,0.999,0,main,0.698874981976453,0.7022718154292853,0.7833537852696026,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.325215134782605,-0.39925558059884925,-0.15,-0.00021043029040025826,-1.0043506752922449,-0.004429353298503913,0.002025638034555133,0.0024100869494875776,0.12,1.7
74.5,0.999,0,main,0.6935608502553461,0.6969793675976365,0.7833421502970896,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.3204383875587027,-0.40503768107868704,-0.15,-0.00023269945025987436,-0.9968506286335629,-0.004439841677113032,0.0020361595490752116,0.0024253581355533904,0.12,1.7
74.55,0.999,0,main,0.6882466569571137,0.6916869815961223,0.7833294034959151,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.3156615730605434,-0.41081972598081085,-0.15,-0.00025493602348603374,-0.9893505769091616,-0.00445135274418218,0.0020477945215882087,0.002440716583731184,0.12,1.7
74.60000000000001,0.999,0,main,0.682932396198321,0.6863946633340035,0.7833155461741619,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.3108846848601954,-0.41660170999336027,-0.15,-0.0002771464350624299,-0.9818505200888872,-0.004463868197907284,0.002060541322762788,0.002456170632716026,0.12,1.7
74.65,0.999,0,main,0.6776180621026816,0.6811024187138139,0.7833005793327681,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.3061077165374932,-0.4223836278104778,-0.15,-0.00029933682787638104,-0.9743504581380793,-0.004477370086135468,0.0020743986445159734,0.0024717286113918324,0.12,1.7
74.7,0.999,0,main,0.6723036487994516,0.6758102536330127,0.7832845036798948,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.3013306616782794,-0.42816547413082046,-0.15,-0.00032151305746312437,-0.966850391017701,-0.004491840783091894,0.0020893654859097666,0.0024873988411349135,0.12,1.7
74.75,0.999,0,main,0.6669891504218994,0.6705181739855588,0.7832673196455788,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.296553513872728,-0.43394724365614035,-0.15,-0.00034368068632071973,-0.9593503186844669,-0.0045072629663807096,0.002105441138783082,0.002503189638009329,0.12,1.7
74.8,0.999,0,main,0.6616745611058538,0.6652261856634087,0.783249027396689,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2917762667137564,-0.43972893108993477,-0.15,-0.0003658449777984951,-0.951850241090969,-0.004523619594254402,0.002122625173099024,0.002519109314853052,0.12,1.7
74.85000000000001,0.999,0,main,0.6563598749883297,0.6599342945579345,0.783229626852211,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2869989137955185,-0.4455105311361679,-0.15,-0.0003880108895607209,-0.9443501581858007,-0.004540893883145769,0.0021409174219888527,0.0025351661832517247,0.12,1.7
74.9,0.999,0,main,0.651045086206237,0.6546425065612606,0.7832091176988794,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2822214487119905,-0.4512920384980652,-0.15,-0.00041018306663166736,-0.9368500699136806,-0.004559069285453188,0.0021603179664668737,0.0025513685553975596,0.12,1.7
74.95,0.999,0,main,0.6457301888951708,0.6493508275675176,0.7831874994071781,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2774438650556466,-0.4570734478769826,-0.15,-0.0004323658340247673,-0.9293499762155755,-0.00457812946757552,0.0021808271197985007,0.0025677247458310015,0.12,1.7
75.0,0.999,0,main,0.6404151771882863,0.6440592634740117,0.7831647712477299,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2726661564162245,-0.462854753971352,-0.15,-0.0004545631889645227,-0.9218498770288237,-0.004598058288194817,0.0022024454114997205,0.0025842430730628196,0.12,1.7
75.05,0.999,0,main,0.6351000452152623,0.6387678201823059,0.7831409323080947,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2678883163795898,-0.4686359514757044,-0.15,-0.0004767787927060724,-0.9143497722872592,-0.004618839776802053,0.0022251735709479803,0.0026009318610727417,0.12,1.7
75.10000000000001,0.999,0,main,0.6297847871013513,0.633476503599214,0.7831159815099964,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2631103385266944,-0.4744170350797739,-0.15,-0.0004990159619642207,-0.9068496619213375,-0.004640458112467272,0.0022490125105831815,0.0026177994406825777,0.12,1.7
75.15,0.999,0,main,0.6244693969665231,0.6281853196377012,0.7830899176269983,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2583322164326365,-0.48019799946768316,-0.15,-0.000521277659959967,-0.8993495458582625,-0.004662897602854876,0.0022739633086814592,0.002634854150799615,0.12,1.7
75.2,0.999,0,main,0.6191538689247007,0.6228942742176921,0.7830627393026433,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.253553943665822,-0.48597883931721364,-0.15,-0.000543566487097271,-0.8918494240221166,-0.004686142663483495,0.0023000271916795434,0.0026521043395278943,0.12,1.7
75.25,0.999,0,main,0.6138381970830928,0.6176033732667824,0.7830344450690792,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.248775513787232,-0.491759549299162,-0.15,-0.0005658846712842266,-0.8843492963339941,-0.00471017779723909,0.002327205516034603,0.002669558365143321,0.12,1.7
75.3,0.999,0,main,0.6085223755416255,0.6123126227208512,0.7830050333661838,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2439969203497965,-0.4975401240767854,-0.15,-0.0005882340579128446,-0.8768491627121365,-0.004734987574141369,0.0023554997495986996,0.0026872245969288278,0.12,1.7
75.35000000000001,0.999,0,main,0.6032063983924743,0.6070220285245721,0.782974502561208,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2392181568978797,-0.5033205583053382,-0.15,-0.0006106160995158925,-0.8693490230720744,-0.00476055661137581,0.0023849114524940873,0.002705111415866379,0.12,1.7
75.4,0.999,0,main,0.597890259719701,0.6017315966318204,0.782942850968952,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.23443921696688,-0.509100846631702,-0.15,-0.0006330318451194476,-0.8618488773267712,-0.0047868695535948635,0.002415442257469813,0.0027232272151818115,0.12,1.7
75.45,0.999,0,main,0.5925739535989976,0.5964413330059724,0.7829100768724864,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.229660094082945,-0.5148809836941122,-0.15,-0.0006554819293143267,-0.8543487253867746,-0.004813911053502262,0.0024470938497258565,0.002741580400737409,0.12,1.7
75.5,0.999,0,main,0.587257474097539,0.5911512436200951,0.7828761785444329,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.224880781762807,-0.5206609641219837,-0.15,-0.0006779665610669094,-0.8468485671603717,-0.004841665752729374,0.002479867946191483,0.0027601793912706007,0.12,1.7
75.55,0.999,0,main,0.5819408152739496,0.5858613344570235,0.7828411542688181,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2201012735137424,-0.5264407825358375,-0.15,-0.000700485512300451,-0.8393484025537514,-0.004870118263022916,0.002513766274244933,0.002779032618471844,0.12,1.7
75.60000000000001,0.999,0,main,0.5766239711783847,0.5805716115093204,0.7828050023635047,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.215321562833656,-0.5322204335473321,-0.15,-0.000723038106271195,-0.831848231471173,-0.004899253147750748,0.002548790549859792,0.002798148526898525,0.12,1.7
75.65,0.999,0,main,0.5713069358527312,0.5752820807791182,0.782767721203216,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.210541643211297,-0.5379999117594018,-0.15,-0.000745623205773312,-0.824348053815142,-0.004929054903752006,0.002584942455173156,0.0028175355737217744,0.12,1.7
75.7,0.999,0,main,0.5659897033309297,0.5699927482778383,0.7827293092431558,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2057615081266064,-0.5437792117665056,-0.15,-0.000768239201207502,-0.8168478694865936,-0.004959507943545327,0.0026222236154618273,0.00283720222829964,0.12,1.7
75.75,0.999,0,main,0.5606722676394222,0.5647036200257837,0.7826897650432283,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.2009811510512014,-0.5495583281549878,-0.15,-0.0007908839985484436,-0.8093476783850849,-0.004990596577916617,0.0026606355755220967,0.002857156971572794,0.12,1.7
75.8,0.999,0,main,0.5553546227977273,0.5594147020516045,0.7826490872928655,-0.004311406872895195,-0.004311364768390092,0.7853899448186779,2.196200565449,-0.5553372555035557,-0.15,-0.0008135550072521556,-0.801847480408994,-0.0050223049989117086,0.0027001797754495627,0.002877408295280104,0.12,1.7
