t,s,attack_dos,x,y,xd,yd,x_dos,y_dos,mode,v_out,w_out,d_hat
182.8,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
182.85000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
182.9,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
182.95000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.0,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.05,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.10000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.15,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.20000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.25,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.3,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.35000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.4,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.45000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.5,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.55,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.60000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.65,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.70000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.75,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.8,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.85000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.9,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
183.95000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
184.0,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
184.05,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
184.10000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
184.15,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
184.20000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
184.25,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
184.3,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
184.35000000000002,0.995,0,0.9996499495137183,-2.4747740201176165,1.0,-2.4650000000000003,1.1006086583348245,-0.2874795602000178,main,0.0,0.0,1.7
