t,s,attack_dos,attack_fdi,x,y,xd,yd,x_dos,y_dos,x_fdi,y_fdi,mode,v_out,w_out
43.23555827140808,0.43190460092764044,1,0,-1.284317966688127,-0.21130650805930407,-1.325549865862642,-0.19417325818149278,-1.0899472321536388,0.7235822928737788,-1.512553964053016,-0.0892149734810865,dt,0.02,-0.2
43.28550672531128,0.4319684680136809,1,0,-1.2842730671450786,-0.212305499566292,-1.3257900130342795,-0.19485204292463587,-1.0899472321536388,0.7235822928737788,-1.5115122923126234,-0.09664228254866056,dt,0.02,-0.2
43.3352267742157,0.43203783819289476,1,0,-1.2842381595955608,-0.2133048901120681,-1.3260508524332097,-0.19558931500324062,-1.0899472321536388,0.7235822928737788,-1.510544944508181,-0.10407963679766877,dt,0.02,-0.2
43.385751485824585,0.4321111592323259,1,0,-1.2842132475302992,-0.2143045797584106,-1.3263265474951353,-0.19636857715535566,-1.0899472321536388,0.7235822928737788,-1.5096520173736632,-0.11152629249888402,dt,0.02,-0.2
43.436601400375366,0.4321873420927342,1,0,-1.2841983334404798,-0.21530446853718796,-1.3266130033143775,-0.19717825498066643,-1.0899472321536388,0.7235822928737788,-1.508864387747888,-0.11870105180646322,dt,0.02,-0.2
43.48717284202576,0.4322656219608589,1,0,-1.2841934188174993,-0.2163044564603555,-1.3269073441101107,-0.1980102199797366,-1.0899472321536388,0.7235822928737788,-1.5081876620205692,-0.12549084467421842,dt,0.02,-0.2
43.53755235671997,0.4323454609722518,1,0,-1.2841985041528157,-0.21730444352995426,-1.3272075474536642,-0.19885875568413378,-1.0899472321536388,0.7235822928737788,-1.5076123231111693,-0.13191358057006392,dt,0.02,-0.2
43.58816909790039,0.43242648011750967,1,0,-1.2842135889378998,-0.2183043297481106,-1.3275121882285676,-0.1997198339501547,-1.0899472321536388,0.7235822928737788,-1.5071294954800516,-0.13798635537788956,dt,0.02,-0.2
43.63802218437195,0.4325084115768874,1,0,-1.2842386716642857,-0.2193040151270359,-1.327820259403527,-0.2005906083671023,-1.0899472321536388,0.7235822928737788,-1.5067309031178646,-0.1437255132152548,dt,0.02,-0.2
43.68930172920227,0.4325910653547787,1,0,-1.2842737498237216,-0.22030339969902538,-1.3281310465744527,-0.20146905964575013,-1.0899472321536388,0.7235822928737788,-1.5064088319941509,-0.14914669413485887,dt,0.02,-0.2
43.73922538757324,0.4326743059241046,1,0,-1.2843188199084206,-0.22130238352645465,-1.3284440401448256,-0.20235374739294373,-1.0899472321536388,0.7235822928737788,-1.5061560958451534,-0.15426487215164095,dt,0.02,-0.2
43.78918385505676,0.4327580358776385,1,0,-1.284373877411412,-0.22230086671177343,-1.328758873852908,-0.20324363635651538,-1.0899472321536388,0.7235822928737788,-1.5059660045541954,-0.15909438667621695,dt,0.02,-0.2
43.83924341201782,0.4328421844841875,1,0,-1.2844389168269914,-0.22329874940749528,-1.3290752817417413,-0.20413797479941853,-1.0899472321536388,0.7235822928737788,-1.5058323346279452,-0.1636489694744514,dt,0.02,-0.2
43.88930654525757,0.43292669967817393,1,0,-1.2845139316512715,-0.22429593182618218,-1.3293930680391057,-0.2050362093643306,-1.0899472321536388,0.7235822928737788,-1.505749301437665,-0.16794176859792162,dt,0.02,-0.2
43.93933701515198,0.4330115424525979,1,0,-1.284598914382832,-0.22529231425042323,-1.32971208607445,-0.20593792548158663,-1.0899472321536388,0.7235822928737788,-1.5057115330033508,-0.17198537025843091,dt,0.02,-0.2
43.990920305252075,0.4330966829343668,1,0,-1.2846938565234711,-0.22628779704280635,-1.3300322235217068,-0.20684280565745738,-1.0899472321536388,0.7235822928737788,-1.5057140451691975,-0.1757918192923914,dt,0.02,-0.2
44.0411331653595,0.43318209763728366,1,0,-1.2847987485790535,-0.22728228065588185,-1.3303533920702257,-0.20775060027866948,-1.0899472321536388,0.7235822928737788,-1.505752218063839,-0.1793726386354561,dt,0.02,-0.2
44.092395544052124,0.43326776753939517,1,0,-1.2849135800604612,-0.22827566564211715,-1.3306755201954001,-0.20866110717831124,-1.0899472321536388,0.7235822928737788,-1.505821773767012,-0.18273884807400403,dt,0.02,-0.2
44.142494201660156,0.433351625949129,1,0,-1.2850383394846416,-0.22926785266384148,-1.3309908369127288,-0.20955236138514174,-1.0899472321536388,0.7235822928737788,-1.5059187218779302,-0.18589989850803945,dt,0.02,-0.2
44.192930936813354,0.4334103268359427,1,0,-1.2851730143757565,-0.23025874250317946,-1.3312115586148587,-0.2101762393299229,-1.0899472321536388,0.7235822928737788,-1.5060388384571524,-0.18885244274876728,dt,0.02,-0.2
44.24343252182007,0.4334693391850893,1,0,-1.2853175912664287,-0.2312482360719729,-1.3314334514491468,-0.21080342752248168,-1.0899472321536388,0.7235822928737788,-1.5061784928083293,-0.1916067839509966,dt,0.02,-0.2
44.293965339660645,0.43353660504477715,1,0,-1.2854720556990897,-0.23223623442168947,-1.3316863783783885,-0.21151833471680082,-1.0899472321536388,0.7235822928737788,-1.5063345942848665,-0.19417701186975322,dt,0.02,-0.2
44.34454274177551,0.43360970567787743,1,0,-1.2856363922274252,-0.23322263875331756,-1.3319791493003896,-0.21228864532387046,-1.0899472321536388,0.7235822928737788,-1.5066765873265107,-0.19900893652547252,dt,0.02,-0.2
44.39539384841919,0.4336869453669685,1,0,-1.285810584417919,-0.234207350427246,-1.3322917379278776,-0.21310137575533944,-1.0899472321536388,0.7235822928737788,-1.5070445363978855,-0.2035607697879602,dt,0.02,-0.2
44.4458703994751,0.43376713450295235,1,0,-1.2859946148514974,-0.23519027097312797,-1.332616262951885,-0.21394514081775923,-1.0899472321536388,0.7235822928737788,-1.5074342644923904,-0.2078477745994692,dt,0.02,-0.2
44.49628710746765,0.43384943774734674,1,0,-1.2861884651252702,-0.23617130209972803,-1.3329493437618392,-0.21481115092363978,-1.0899472321536388,0.7235822928737788,-1.50784194127493,-0.21188412497677742,dt,0.02,-0.2
44.54644703865051,0.43393326774615104,1,0,-1.2863921158543719,-0.237150345704751,-1.3332886033390967,-0.21569322582450892,-1.0899472321536388,0.7235822928737788,-1.5082640566684828,-0.21568306816273405,dt,0.02,-0.2
44.59611773490906,0.43401821072981384,1,0,-1.286605546673899,-0.23812730388465225,-1.3336323671603951,-0.2165870117598855,-1.0899472321536388,0.7235822928737788,-1.5086973977080542,-0.21925704546634303,dt,0.02,-0.2
44.64672517776489,0.4341039744334726,1,0,-1.2868287362409476,-0.23910207894442792,-1.3339794524313286,-0.21748943346431215,-1.0899472321536388,0.7235822928737788,-1.5091390277318222,-0.22261778375992355,dt,0.02,-0.2
44.69735145568848,0.434190351641384,1,0,-1.287061662236747,-0.24007457340738436,-1.3343290205508407,-0.21839831057504308,-1.0899472321536388,0.7235822928737788,-1.5095862673243632,-0.22577636609202342,dt,0.02,-0.2
44.74725866317749,0.43427719466828807,1,0,-1.2873043013688914,-0.24104469002488565,-1.3346804738374383,-0.21931208912019712,-1.0899472321536388,0.7235822928737788,-1.5100366766451925,-0.22874328738751473,dt,0.02,-0.2
44.79745554924011,0.4343643974966267,1,0,-1.2875566293736702,-0.2420123317860785,-1.3350333832386048,-0.2202296535632303,-1.0899472321536388,0.7235822928737788,-1.5104880389121456,-0.23152849944680587,dt,0.02,-0.2
44.84733700752258,0.43445188327286033,1,0,-1.287818621018493,-0.24297740192759315,-1.3353874377284587,-0.2211501952368497,-1.0899472321536388,0.7235822928737788,-1.5109383448928508,-0.2341414482133035,dt,0.02,-0.2
44.89798879623413,0.4345395955551536,1,0,-1.2880902501044136,-0.24393980394321965,-1.335742408887179,-0.22207312024952286,-1.0899472321536388,0.7235822928737788,-1.5113857783079767,-0.2365911054016088,dt,0.02,-0.2
44.94950008392334,0.43462749218701985,1,0,-1.2883714894687497,-0.24489944159355845,-1.3360981261076805,-0.22299798502282725,-1.0899472321536388,0.7235822928737788,-1.5118287020796024,-0.23888599596134014,dt,0.02,-0.2
44.99959325790405,0.43471554100913723,1,0,-1.2886623109877995,-0.24585621891564421,-1.3364544592413514,-0.22392445117037124,-1.0899472321536388,0.7235822928737788,-1.5122656453750032,-0.2410342224169044,dt,0.02,-0.2
45.051026582717896,0.4348037168578845,1,0,-1.2889626855796532,-0.24681004023254205,-1.336811306451145,-0.2248522539158349,-1.0899472321536388,0.7235822928737788,-1.512695291405467,-0.2430434868181133,dt,0.02,-0.2
