t,s,mode,dos,fdi,x,y,xd,yd,x_dos,y_dos,x_fdi,y_fdi,v_out,w_out,d_perp,r_eff
97.2,0.588134172738497,dt,0,1,-1.2116808332669704,0.18280276560995445,-2.889999999999999,-0.15999999999999875,2.3974397491411636,0.8409401386549358,-0.4291557325667806,2.2047256616675774,0.014174087032314365,0.0029508352245310107,1.483627686937865,0.32
97.25,0.588134172738497,dt,0,1,-1.2117453341016637,0.18209662571589452,-2.889999999999999,-0.15999999999999875,2.400951659711704,0.8343131873087641,-0.4224941715032645,2.201279852009885,0.014181592402253324,0.0028510323715824596,1.4837896095244318,0.32
97.30000000000001,0.588134172738497,dt,0,1,-1.2118097672028163,0.18139011557271018,-2.889999999999999,-0.15999999999999875,2.4044338220792887,0.827670556410861,-0.4158367356322785,2.1978260790550266,0.014188843602584225,0.0027546089632681675,1.483951719701042,0.32
97.35000000000001,0.588134172738497,dt,0,1,-1.2118741347608206,0.18068324772219901,-2.889999999999999,-0.15999999999999875,2.4078861168212975,0.8210123538745681,-0.4091834008775528,2.1943644123117427,0.014195849261100423,0.002661450309280249,1.4841140112183844,0.32
97.4,0.588134172738497,dt,0,1,-1.211938438898582,0.1799760342802264,-2.889999999999999,-0.15999999999999875,2.411308426327774,0.8143386893908019,-0.40253414453102004,2.1908949181068054,0.014202617711393702,0.002571445628545121,1.4842764780324056,0.32
97.45,0.588134172738497,dt,0,1,-1.2120026816733656,0.1792684869512611,-2.889999999999999,-0.15999999999999875,2.4147006347696363,0.8076496743746012,-0.39588894519311174,2.18741765973857,0.014209157002972723,0.00248448791487756,1.4844391142977678,0.32
97.5,0.588134172738497,dt,0,1,-1.2120668650786073,0.17856061704241008,-2.889999999999999,-0.15999999999999875,2.4180626280678785,0.8009454219134707,-0.3892477827155019,2.1839326976231392,0.014215474911027955,0.0024004738073214313,1.4846019143615004,0.32
97.55000000000001,0.588134172738497,dt,0,1,-1.2121309910456937,0.17785243547697063,-2.889999999999999,-0.15999999999999875,2.4213942938637265,0.7942260467174592,-0.3826106381462134,2.180440089433496,0.01422157894585575,0.0023193034650110956,1.4847648727568419,0.32
97.60000000000001,0.588134172738497,dt,0,1,-1.2121950614457044,0.17714395280751616,-2.889999999999999,-0.15999999999999875,2.424695521489722,0.7874916650709112,-0.37597749367700095,2.1769398902319423,0.014227476361953813,0.0022408804463896347,1.484927984197269,0.32
97.65,0.588134172738497,dt,0,1,-1.2122590780911213,0.1764351792285322,-2.889999999999999,-0.15999999999999875,2.427966201941702,0.7807423947858333,-0.3693483325929301,2.173432152596166,0.014233174166799836,0.002165111592629713,1.4850912435707027,0.32
97.7,0.588134172738497,main,0,0,-1.2123230180074684,0.17572639872354234,-2.889999999999999,-0.15999999999999875,2.43120622785165,0.7739783551568196,-0.3759735259617913,2.1769473784530913,0.014233174166799836,0.002165111592629713,1.4852546459338922,0.32
97.75,0.588134172738497,main,0,0,-1.2127860652579374,0.17058725542229417,-2.889999999999999,-0.15999999999999875,2.434415493461387,0.7671996669174801,-0.38263353974644576,2.1803961777206933,0.10319923764627476,-0.0588644448403324,1.4854181232788644,0.32
97.80000000000001,0.588134172738497,main,0,0,-1.2134810861827343,0.16311952846463867,-2.889999999999999,-0.15999999999999875,2.4375938934027177,0.7604064516395026,-0.389327707951065,2.1837782055219193,0.15,-0.08821661603724927,1.4866039778915303,0.32
97.85000000000001,0.588134172738497,main,0,0,-1.2142090391198554,0.1556549397605414,-2.889999999999999,-0.15999999999999875,2.4407422987995004,0.7535992831049715,-0.39605536116440704,2.187093123656807,0.15,-0.08408069280192115,1.4883061257614232,0.32
97.9,0.588134172738497,main,0,0,-1.2149683669211473,0.14819347735092053,-2.889999999999999,-0.15999999999999875,2.4438620588859887,0.7467789387586239,-0.40281582662675686,2.190340600636306,0.15,-0.08013631119721623,1.489976039178341,0.32
97.95,0.588134172738497,main,0,0,-1.215757585250792,0.14073511731481658,-2.889999999999999,-0.15999999999999875,2.446954466140578,0.7399461488912443,-0.40960842829720195,2.193520311715424,0.15,-0.0763754412703937,1.491615199164523,0.32
98.0,0.588134172738497,main,0,0,-1.216575279533571,0.13327982549893772,-2.889999999999999,-0.15999999999999875,2.4500207580432334,0.7331015996754295,-0.41643248692123574,2.1966319389257034,0.15,-0.07279028438154403,1.4932250214490403,0.32
98.05000000000001,0.588134172738497,main,0,0,-1.2174201019814095,0.12582755906303864,-2.889999999999999,-0.15999999999999875,2.453062118858563,0.7262459360028901,-0.42328732009868253,2.1996751711070157,0.15,-0.06937327985170648,1.4948068588159957,0.32
98.10000000000001,0.588134172738497,main,0,0,-1.218290768703372,0.11837826785787911,-2.889999999999999,-0.15999999999999875,2.456079681431606,0.7193797641351192,-0.4301722423519369,2.202649703938679,0.15,-0.06611710938436553,1.4963620034367,0.32
98.15,0.588134172738497,main,0,0,-1.2191860569029365,0.11093189565124585,-2.889999999999999,-0.15999999999999875,2.4590745289851985,0.7125036541788473,-0.43708656519451095,2.205555239969889,0.15,-0.06301469955631159,1.4978916891756224,0.32
98.2,0.588134172738497,main,0,0,-1.2201048021652348,0.10348838121631632,-2.889999999999999,-0.15999999999999875,2.4620476969093756,0.7056181423972406,-0.44402959719988233,2.2083914886494633,0.15,-0.06005922264385083,1.4993970938615877,0.32
98.25,0.588134172738497,main,0,0,-1.221045895835957,0.09604765929549931,-2.889999999999999,-0.15999999999999875,2.4650001745347034,0.6987237333673137,-0.4510006440706364,2.211158166354898,0.15,-0.057244096022468896,1.5008793415171542,0.32
98.30000000000001,0.588134172738497,main,0,0,-1.2220082824927878,0.08860966145180818,-2.889999999999999,-0.15999999999999875,2.4679329068826887,0.6918209019935164,-0.45799900870789517,2.213854996420728,0.15,-0.05456298035232224,1.5023395045404118,0.32
98.35000000000001,0.588134172738497,main,0,0,-1.2229909575095355,0.08117431681880964,-2.889999999999999,-0.15999999999999875,2.4708467963875442,0.6849100953869405,-0.46502399128102695,2.216481709166194,0.15,-0.052009776738329405,1.503778605834558,0.32
98.4,0.588134172738497,main,0,0,-1.223992964712518,0.07374155275924399,-2.889999999999999,-0.15999999999999875,2.4737427045845757,0.6779917346190731,-0.47207488929762853,2.219038041922211,0.15,-0.049578623032081603,1.5051976208816167,0.32
98.45,0.588134172738497,main,0,0,-1.2250133941282841,0.0663112954415302,-2.889999999999999,-0.15999999999999875,2.476621453761329,0.6710662163585137,-0.479150997673774,2.221523739057633,0.15,-0.04726388942324025,1.5065974797575077,0.32
98.5,0.588134172738497,main,0,0,-1.2260513798213304,0.058883470342550585,-2.889999999999999,-0.15999999999999875,2.479483828568398,0.6641339143985687,-0.48625160880452245,2.2239385520048174,0.15,-0.04506017345036306,1.5079790690864419,0.32
98.55000000000001,0.588134172738497,main,0,0,-1.2271060978201531,0.05145800268435158,-2.889999999999999,-0.15999999999999875,2.4823305775874713,0.6571951810831569,-0.493376012634678,2.2262822392844828,0.15,-0.042962294545178095,1.5093432339332478,0.32
98.60000000000001,0.588134172738497,main,0,0,-1.2281767641296992,0.044034817811697324,-2.889999999999999,-0.15999999999999875,2.4851624148547717,0.6502503486379838,-0.5005234967297946,2.2285545665298536,0.15,-0.04096528820997214,1.5106907796327942,0.32
98.65,0.588134172738497,main,0,0,-1.229262632828072,0.03661384151676858,-2.889999999999999,-0.15999999999999875,2.4879800213385597,0.6432997304135007,-0.5076933463474189,2.2307553065100993,0.15,-0.0390643999149371,1.5120224735561518,0.32
98.7,0.588134172738497,main,0,0,-1.2303629942451846,0.029195000316707066,-2.889999999999999,-0.15999999999999875,2.490784046369802,0.6363436220457304,-0.5148848445085641,2.232884239153056,0.15,-0.037255078790871185,1.5133390468135393,0.32
98.75,0.588134172738497,main,0,0,-1.2314771732209322,0.02177822168916249,-2.889999999999999,-0.15999999999999875,2.493575109025497,0.6293823025406377,-0.5220972720694069,2.234941151567233,0.15,-0.035532971182417175,1.5146411958944346,0.32
98.80000000000001,0.588134172738497,main,0,0,-1.232604527440368,0.014363434270502407,-2.889999999999999,-0.15999999999999875,2.4963537994644645,0.6224160352873384,-0.5293299077932015,2.236925838063103,0.15,-0.03389391411796988,1.5159295842455338,0.32
98.85000000000001,0.588134172738497,main,0,0,-1.233744445843311,0.006950568020890745,-2.889999999999999,-0.15999999999999875,2.499120680215693,0.615445069005073,-0.5365820284224029,2.2388381001736706,0.15,-0.032333928744345194,1.5172048437874612,0.32
